[ALERT] FIN_SCAN from 10.129.5.193 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1025, 110, 111, 113, 135, 139, 143, 1720, 1723, 199, 21, 22, 23, 25, 256 | Ports Scanned: 15 | Start: Mon Jun  2 13:29:17 2025 | Duration: 7.5s
[ALERT] SERVICE_PROBE from 172.217.17.67 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 32920 | Ports Scanned: 1 | Start: Mon Jun  2 13:29:15 2025 | Duration: 0.0s
[ALERT] ARP_MITM from 10.129.5.252 | Target_IP: 10.129.5.193 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: 08:71:90:49:f6:79 | Previous_MAC: 08:71:90:49:f6:79 | Ports:  | Ports Scanned: 0 | Start: Mon Jun  2 13:29:17 2025 | Duration: 0.0s
[ALERT] SERVICE_PROBE from 172.217.17.67 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 32920 | Ports Scanned: 1 | Start: Mon Jun  2 13:34:56 2025 | Duration: 0.0s
[ALERT] FULL_PORT_SCAN from 10.129.5.193 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 10, 11, 13, 2, 20, 21, 22, 23, 24, 25, 28, 30, 33, 34, 35 | Ports Scanned: 15 | Start: Mon Jun  2 13:34:53 2025 | Duration: 9.2s
[ALERT] SYN_SCAN from 10.129.5.193 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 10, 11, 13, 2, 20, 21, 22, 23, 24, 25, 28, 30, 33, 34, 35 | Ports Scanned: 15 | Start: Mon Jun  2 13:34:53 2025 | Duration: 9.2s
[ALERT] OS_FINGERPRINT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Mon Jun  2 13:34:53 2025 | Duration: 9.2s
[ALERT] SERVICE_PROBE from 10.129.5.252 | Target_IP: N/A | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 443 | Ports Scanned: 1 | Start: Mon Jun  2 13:34:56 2025 | Duration: 0.3s
[ALERT] ARP_MITM from 10.129.5.252 | Target_IP: 10.129.5.109 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: 6e:24:d0:51:b4:15 | Previous_MAC: 6e:24:d0:51:b4:15 | Ports:  | Ports Scanned: 0 | Start: Mon Jun  2 13:34:41 2025 | Duration: 0.0s
[ALERT] ARP_MITM from 10.129.5.193 | Target_IP: 10.129.5.252 | SRC_MAC: 08:71:90:49:f6:79 | Claimed_MAC: 00:00:00:00:00:00 | Previous_MAC: f0:d5:bf:24:3b:19 | Ports:  | Ports Scanned: 0 | Start: Mon Jun  2 13:34:43 2025 | Duration: 0.0s
[ALERT] ARP_MITM from 10.129.5.252 | Target_IP: 10.129.5.193 | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: 08:71:90:49:f6:79 | Previous_MAC: 08:71:90:49:f6:79 | Ports:  | Ports Scanned: 0 | Start: Mon Jun  2 13:34:41 2025 | Duration: 2.2s
[ALERT] NULL_SCAN from 10.129.5.193 | Target_IP: N/A | SRC_MAC: f0:d5:bf:24:3b:19 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 1007, 1025, 1088, 110, 111, 1110, 113, 1141, 135, 139, 143, 1720, 1723, 18101, 1840 | Ports Scanned: 15 | Start: Mon Jun  2 13:29:51 2025 | Duration: 9.4s
[ALERT] SERVICE_PROBE from 172.217.19.202 | Target_IP: N/A | SRC_MAC: 6e:24:d0:51:b4:15 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 33500 | Ports Scanned: 1 | Start: Mon Jun  2 13:32:48 2025 | Duration: 0.0s
[ALERT] SERVICE_PROBE from 10.129.5.252 | Target_IP: N/A | SRC_MAC: 6e:24:d0:51:b4:15 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 443 | Ports Scanned: 1 | Start: Mon Jun  2 13:32:47 2025 | Duration: 0.6s
[ALERT] FULL_PORT_SCAN from 10.129.5.193 | Target_IP: N/A | SRC_MAC: 6e:24:d0:51:b4:15 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 10000, 10001, 10002, 10009, 1007, 10180, 1022, 1024, 1025, 1035, 1037, 10566, 1077, 10778, 110 | Ports Scanned: 15 | Start: Mon Jun  2 13:32:45 2025 | Duration: 9.6s
[ALERT] SYN_SCAN from 10.129.5.193 | Target_IP: N/A | SRC_MAC: 6e:24:d0:51:b4:15 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports: 10000, 10001, 10002, 10009, 1007, 10180, 1022, 1024, 1025, 1035, 1037, 10566, 1077, 10778, 110 | Ports Scanned: 15 | Start: Mon Jun  2 13:32:45 2025 | Duration: 9.6s
[ALERT] OS_FINGERPRINT from 10.129.5.193 | Target_IP: N/A | SRC_MAC: 6e:24:d0:51:b4:15 | Claimed_MAC: N/A | Previous_MAC: N/A | Ports:  | Ports Scanned: 0 | Start: Mon Jun  2 13:32:45 2025 | Duration: 9.6s
